order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole,golfer_node_idx,predicted_node_idx,actual_node_idx
001,11:11:26,15,,10.066666666666666,5.4483101870837345,7.829262568036116,17,168,197,197
002,11:28:21,17,,10.066666666666666,1.5843000813460093,2.7747762718222,18,192,218,219
003,11:29:20,9,,10.0,2.479266165014269,13.193551879299983,10,96,122,122
004,11:38:39,8,,10.016666666666667,2.3943412109275113,14.299103115689416,9,84,105,105
005,12:01:48,3,,10.033333333333333,10.021088977534843,15.973469929915796,-1,24,63,63
006,12:20:29,17,,10.016666666666667,2.1349411427938927,3.3254173332700834,18,192,215,215
007,12:32:38,4,,10.033333333333333,7.994056699028261,16.327390032361595,6,36,74,74
008,12:47:52,4,,10.05,8.362457761495474,16.695791094828806,6,36,72,72
009,13:01:36,3,,10.066666666666666,9.099640955883478,17.432974289216812,6,24,68,68
010,13:35:22,6,,10.05,5.25230836455424,15.966594078839956,8,60,89,89
011,13:52:26,6,,10.066666666666666,5.436604150944064,16.15088986522978,8,60,88,88
012,13:53:16,4,,10.066666666666666,7.994056699028261,16.327390032361595,6,36,74,74
013,14:07:47,2,,10.05,9.871602160041645,15.823983112422598,4,12,54,54
014,14:57:51,13,,10.066666666666666,7.989921609241719,11.561350180670292,16,144,183,183
015,15:55:13,3,,10.033333333333333,10.021088977534843,15.973469929915796,-1,24,63,63
016,16:32:42,9,,10.05,1.9292149456485883,12.643500659934302,10,96,119,119
017,16:42:13,2,,10.033333333333333,10.240194115070578,16.19257506745153,4,12,56,56
018,17:08:58,4,,10.033333333333333,7.094861496221832,16.618671020031357,7,36,79,80
019,17:58:55,14,,10.0,7.808198986814629,11.379627558243202,16,156,184,184
020,17:58:56,1,,10.066666666666666,7.362926080506319,12.124830842411082,3,0,40,40
