golfer_id,latitude,longitude,timestamp,type
golfer_1,34.0383073,-84.592466,0,golfer
golfer_1,34.03832601818395,-84.59240924377589,10,golfer
golfer_1,34.038344736367904,-84.59235248755178,20,golfer
golfer_1,34.038363454551856,-84.59229573132767,30,golfer
golfer_1,34.038382172735815,-84.59223897510356,40,golfer
golfer_1,34.03840089091977,-84.59218221887944,50,golfer
golfer_1,34.03841960910372,-84.59212546265533,60,golfer
golfer_1,34.03841960910372,-84.59212546265533,60,golfer
golfer_1,34.03843832728767,-84.59206870643122,70,golfer
golfer_1,34.038457045471624,-84.59201195020711,80,golfer
golfer_1,34.038475763655576,-84.59195519398298,90,golfer
golfer_1,34.03849448183953,-84.59189843775887,100,golfer
golfer_1,34.03851320002348,-84.59184168153476,110,golfer
golfer_1,34.03853191820743,-84.59178492531065,120,golfer
golfer_1,34.03853191820743,-84.59178492531065,120,golfer
golfer_1,34.038550636391385,-84.59172816908654,130,golfer
golfer_1,34.03856935457534,-84.59167141286242,140,golfer
golfer_1,34.038588072759296,-84.59161465663831,150,golfer
golfer_1,34.03860679094325,-84.5915579004142,160,golfer
golfer_1,34.0386255091272,-84.59150114419009,170,golfer
golfer_1,34.03864422731115,-84.59144438796598,180,golfer
golfer_1,34.03864422731115,-84.59144438796598,180,golfer
golfer_1,34.038662945495105,-84.59138763174187,190,golfer
golfer_1,34.03868166367906,-84.59133087551776,200,golfer
golfer_1,34.03870038186301,-84.59127411929364,210,golfer
golfer_1,34.03871910004697,-84.59121736306952,220,golfer
golfer_1,34.03873781823092,-84.5911606068454,230,golfer
golfer_1,34.03875653641487,-84.5911038506213,240,golfer
golfer_1,34.03875653641487,-84.5911038506213,240,golfer
golfer_1,34.038775254598825,-84.59104709439718,250,golfer
golfer_1,34.03879397278278,-84.59099033817307,260,golfer
golfer_1,34.03881269096673,-84.59093358194896,270,golfer
golfer_1,34.03883140915068,-84.59087682572485,280,golfer
golfer_1,34.038850127334634,-84.59082006950074,290,golfer
golfer_1,34.038868845518586,-84.59076331327663,300,golfer
golfer_1,34.038868845518586,-84.59076331327663,300,golfer
golfer_1,34.03888756370254,-84.59070655705251,310,golfer
