order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,14,1,10,3,7,16
002,10:00,13,2,27,3,7,16
003,10:00,12,3,43,3,7,16
004,10:00,7,4,60,7,15,13
005,10:00,7,5,,,,7
006,10:00,14,6,,,,14
007,10:00,13,7,,,,13
010,10:39,9,5,46,6,12,14
012,11:34,12,1,12,6,12,14
013,11:59,14,1,10,3,7,16
014,12:09,14,1,17,3,7,16
016,12:21,11,1,21,7,15,13
017,12:47,10,1,20,7,15,13
018,12:49,10,2,43,6,12,14
020,13:29,15,1,25,2,3,18
021,13:33,18,2,34,2,3,18
022,13:55,15,2,26,4,7,17
023,14:09,9,2,29,7,15,13
024,14:41,11,1,22,7,15,13
025,15:04,15,1,23,4,7,17
026,15:07,10,2,37,6,12,14
027,15:11,6,3,55,9,18,12
028,15:30,9,3,,,,9
029,15:48,17,3,56,2,3,18
030,15:57,6,3,,,,6
031,16:34,14,3,34,4,7,17
032,16:45,13,3,39,4,7,17
033,17:14,8,2,27,6,16,11
034,17:20,18,2,47,2,3,18
035,17:53,11,2,28,6,12,14
036,18:28,18,1,15,2,3,18
037,19:14:00,15,,,,,15
038,20:14:00,18,,,,,18
