order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,11,1,10,7,15,13
002,10:00,9,2,35,7,15,13
003,10:00,11,3,60,3,7,16
004,10:00,8,4,,,,8
005,10:00,5,5,,,,5
006,10:00,7,6,,,,7
007,10:31,16,5,45,2,3,18
008,10:37,14,6,53,2,3,18
009,10:46,6,7,57,6,16,11
010,11:17,11,3,52,3,7,16
011,11:22,6,3,,,,6
012,11:36,11,3,60,4,7,17
013,11:37,6,4,,,,6
014,11:38,12,5,,,,12
016,12:02,17,5,51,2,3,18
017,12:02,11,6,,,,11
018,12:08,7,7,,,,7
019,12:31,6,6,55,6,16,11
020,12:34,14,7,,,,14
021,13:11,6,3,41,6,16,11
022,13:43,6,1,35,3,14,10
024,14:05,15,2,37,2,3,18
026,14:33,12,1,23,3,8,15
027,14:37,6,2,37,3,14,10
028,15:04,17,1,33,2,3,18
029,15:42,18,1,10,2,3,18
031,16:11,12,1,10,6,12,14
032,16:29,10,1,14,7,15,13
033,16:45,4,1,23,7,17,7
034,17:58,18,1,10,2,3,18
