order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,7,1,10,2,14,9
002,10:00,7,2,34,9,18,12
004,10:00,8,3,,,,8
005,10:38,13,2,34,4,7,17
007,11:14,7,1,15,3,14,10
008,11:17,18,2,36,2,3,18
010,12:01,18,1,10,2,3,18
011,12:06,18,1,18,2,3,18
012,12:16,18,1,22,2,3,18
013,12:45,16,1,10,2,3,18
014,13:14,7,1,10,3,14,10
016,14:01,12,1,10,6,12,14
017,14:20,9,1,13,6,16,11
019,14:49,18,1,10,2,3,18
020,15:09,18,1,10,2,3,18
022,15:47,16,1,10,4,7,17
023,17:24,18,1,10,2,3,18
024,18:08,18,1,10,2,3,18
025,18:09,14,1,22,3,7,16
026,19:04:00,16,,,,,16
027,19:24:00,16,,,,,16
