order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,13,1,10,3,8,15
002,10:00,14,2,28,4,7,17
004,10:00,14,3,45,2,3,18
006,10:03,8,3,55,7,15,13
010,10:55,7,1,28,6,16,11
011,10:58,16,2,51,2,3,18
013,11:14,8,2,49,7,15,13
014,11:24,6,3,,,,6
018,11:50,7,3,48,9,18,12
021,12:32,14,1,34,4,7,17
023,12:40,18,2,42,2,3,18
024,12:48,17,3,48,2,3,18
025,13:40,6,1,10,4,16,8
026,13:56,17,1,20,2,3,18
027,14:16,18,1,13,2,3,18
028,14:36,14,1,10,3,7,16
030,14:56,8,1,10,6,16,11
032,15:15,9,1,17,6,16,11
033,15:26,14,1,32,4,7,17
034,15:29,17,2,46,2,3,18
035,15:51,13,2,38,3,7,16
036,18:00,14,1,10,3,7,16
