order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,12,1,10,6,12,14
002,10:00,14,2,32,4,7,17
003,10:00,11,3,49,3,7,16
004,10:00,14,4,,,,14
005,10:00,8,5,,,,8
007,10:00,13,6,,,,13
009,10:00,12,7,,,,12
010,10:00,10,8,,,,10
011,10:00,7,9,,,,7
012,10:50,14,7,25,4,7,17
013,10:51,8,8,41,7,15,13
014,11:07,15,2,50,2,3,18
015,11:10,9,3,,,,9
016,11:11,7,4,,,,7
017,11:28,16,4,,,,16
019,12:07,15,3,34,2,3,18
020,12:17,17,3,37,2,3,18
021,12:22,15,3,45,2,3,18
022,12:48,12,2,33,3,8,15
023,13:13,15,1,26,2,3,18
024,13:33,15,1,19,4,7,17
025,13:47,15,1,22,4,7,17
028,14:11,9,1,15,9,18,12
029,14:31,8,1,23,6,16,11
030,14:52,14,1,28,4,7,17
031,15:06,11,2,31,3,8,15
032,15:07,18,3,48,2,3,18
033,15:33,12,2,35,3,7,16
034,16:00,17,1,25,2,3,18
035,16:58,13,1,10,3,8,15
037,17:32,18,1,10,2,3,18
038,17:33,9,1,22,9,18,12
039,17:44,10,2,39,6,12,14
040,18:32,18,1,13,2,3,18
041,19:56:00,18,,,,,18
