order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
002,10:00,14,1,10,3,7,16
004,10:15,2,1,12,10,17,5
005,10:22,13,1,32,3,7,16
006,10:27,9,2,43,7,15,13
007,10:31,8,3,,,,8
008,10:44,7,3,,,,7
009,10:58,13,4,57,2,3,18
011,11:30,4,3,39,4,16,8
012,11:41,18,3,53,2,3,18
013,11:47,14,3,,,,14
014,12:03,17,3,55,2,3,18
016,12:56,16,1,15,4,7,17
017,13:04,1,1,24,9,16,4
018,13:08,16,2,46,2,3,18
019,13:14,8,3,53,7,15,13
020,13:42,15,3,50,2,3,18
021,13:52,16,3,53,2,3,18
023,14:04,18,3,55,2,3,18
024,14:12,3,4,,,,3
025,15:17,6,1,10,2,14,9
026,15:20,18,1,31,2,3,18
027,15:30,18,2,34,2,3,18
028,15:58,18,1,20,2,3,18
029,16:00,5,2,31,2,14,9
030,17:03,15,1,10,3,7,16
031,17:08,6,1,22,2,14,9
