order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,11,1,10,7,15,13
002,10:00,14,2,35,4,7,17
003,10:00,14,3,52,2,3,18
004,10:00,5,4,,,,5
006,10:38,16,3,37,2,3,18
007,10:42,8,3,47,7,15,13
008,11:05,16,3,49,2,3,18
009,11:42,9,2,25,9,18,12
011,12:04,17,1,31,2,3,18
012,12:07,6,2,41,6,16,11
013,12:21,8,3,53,6,12,14
014,12:24,9,4,,,,9
016,12:52,11,3,44,3,8,15
017,13:05,15,3,49,2,3,18
018,13:07,8,4,,,,8
019,13:22,15,5,56,2,3,18
021,13:32,16,4,59,2,3,18
022,13:39,6,5,,,,6
023,13:47,14,5,,,,14
024,14:03,15,5,,,,15
025,14:09,10,5,,,,10
026,14:16,6,6,,,,6
028,15:04,17,3,30,2,3,18
029,15:18,9,2,30,9,18,12
030,15:32,18,2,44,2,3,18
031,15:55,16,2,34,2,3,18
032,15:58,15,3,45,2,3,18
034,16:26,10,2,30,6,12,14
035,17:42,6,1,10,4,16,8
036,18:30,12,1,10,6,12,14
037,19:11:00,13,,,,,13
