order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,13,1,10,3,8,15
002,10:00,10,2,28,7,15,13
003,10:00,9,3,53,6,12,14
004,10:11,15,3,,,,15
005,10:38,13,3,47,4,7,17
006,11:01,13,3,41,4,7,17
007,11:09,17,3,50,2,3,18
008,11:20,12,3,52,4,7,17
009,11:32,12,3,57,4,7,17
011,12:05,6,2,41,3,14,10
012,12:41,10,1,29,7,15,13
013,13:31,17,1,10,2,3,18
014,13:59,14,1,10,3,7,16
017,17:14,15,1,10,4,7,17
018,17:52,9,1,10,6,16,11
019,18:07,10,1,21,7,15,13
020,18:32,17,1,21,2,3,18
023,19:05:00,12,,,,,12
024,20:50:00,11,,,,,11
025,21:14:00,15,,,,,15
