scenario,with_bev,runner_count,delivery_orders,config_dir,run_id,simulation_id,runner_id,revenue_per_round,orders_per_runner_hour,on_time_rate,delivery_cycle_time_p90,delivery_cycle_time_avg,failed_rate,second_runner_break_even_orders,queue_wait_avg,runner_utilization_driving_pct,runner_utilization_waiting_pct,distance_per_delivery_avg,total_revenue,total_orders,successful_orders,failed_orders,total_rounds,active_runner_hours
busy_weekend,False,1,40,busy_weekend_delivery_1r_40orders_no_bev_block3,run_02,delivery_blocked_02,runner_1,1.7857142857142858,0.2,0.5,47.35841448130644,34.54508845907705,0.47368421052631576,12.5,0.0,31.42257750384753,29.826690763816554,1254.9165242970398,50.0,38,2,18,28,10.0
busy_weekend,False,1,40,busy_weekend_delivery_1r_40orders_no_bev_block6,run_01,delivery_blocked_01,runner_1,1.7857142857142858,0.2,0.5,40.42915551128099,28.613533300127408,0.6285714285714286,12.5,0.0,27.07132999649723,33.93325445141896,1093.1041031069908,50.0,35,2,22,28,10.0
busy_weekend,False,1,40,busy_weekend_delivery_1r_40orders_no_bev_block6,run_02,delivery_blocked_02,runner_1,2.6785714285714284,0.3,0.3333333333333333,48.47907254198581,33.25891594280979,0.5263157894736842,12.5,0.0,29.623585979695044,26.929101554751238,577.646322619435,75.0,38,3,20,28,10.0
busy_weekend,False,1,40,busy_weekend_delivery_1r_40orders_no_bev_full,run_01,delivery_blocked_01,runner_1,1.7857142857142858,0.2,0.5,45.49601660500866,31.17180205325152,0.45714285714285713,12.5,0.0,34.84684849924156,20.72675943480484,1493.7797350426972,50.0,35,2,16,28,10.0
busy_weekend,False,1,40,busy_weekend_delivery_1r_40orders_no_bev_full,run_02,delivery_blocked_02,runner_1,1.7857142857142858,0.2,0.5,45.49601660500866,31.17180205325152,0.47368421052631576,12.5,0.0,28.877088601149886,24.92423957256153,1493.7797350426972,50.0,38,2,18,28,10.0
busy_weekend,True,1,40,busy_weekend_delivery_1r_40orders_with_bev_full,run_01,delivery_blocked_01,runner_1,1.7857142857142858,0.2,0.5,45.49601660500866,31.17180205325152,0.45714285714285713,12.5,0.0,34.84684849924156,20.72675943480484,1493.7797350426972,50.0,35,2,16,28,10.0
busy_weekend,True,1,40,busy_weekend_delivery_1r_40orders_with_bev_full,run_02,delivery_blocked_02,runner_1,1.7857142857142858,0.2,0.5,45.49601660500866,31.17180205325152,0.47368421052631576,12.5,0.0,28.877088601149886,24.92423957256153,1493.7797350426972,50.0,38,2,18,28,10.0
busy_weekend,False,2,20,busy_weekend_delivery_2r_20orders_no_bev_block3,run_01,delivery_blocked_01,2_runners,21.428571428571427,1.2,0.5,56.61299079408618,35.80553871102317,0.07142857142857142,12.5,0.0,20.11677941677547,12.126094864567829,1316.3945839753699,300.0,14,12,1,14,10.0
busy_weekend,False,2,20,busy_weekend_delivery_2r_20orders_no_bev_block3,run_02,delivery_blocked_02,2_runners,21.666666666666668,1.3,0.6153846153846154,51.39254079300473,30.191313586676575,0.0625,12.5,0.0,15.545681943911859,11.795602887021055,1058.9979894224566,325.0,16,13,1,15,10.0
busy_weekend,False,2,20,busy_weekend_delivery_2r_20orders_no_bev_block6,run_01,delivery_blocked_01,2_runners,23.214285714285715,1.3,0.6923076923076923,50.51830954743552,25.964273305528433,0.0,12.5,0.0,15.75384402120922,15.394792596282139,812.9468617607698,325.0,14,13,0,14,10.0
busy_weekend,False,2,20,busy_weekend_delivery_2r_20orders_no_bev_block6,run_02,delivery_blocked_02,2_runners,21.666666666666668,1.3,0.8461538461538461,41.31398509128161,21.605499486398987,0.0625,12.5,0.0,12.351144124630203,12.478364417903858,689.4001970143646,325.0,16,13,1,15,10.0
busy_weekend,False,2,20,busy_weekend_delivery_2r_20orders_no_bev_full,run_01,delivery_blocked_01,2_runners,21.428571428571427,1.2,0.75,54.26594486405911,28.251798140849388,0.125,12.5,0.0,17.503256553771195,13.023792192728182,915.2030342202855,300.0,16,12,2,14,10.0
