order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,13,1,10,3,8,15
002,10:00,14,2,28,4,7,17
003,10:00,14,3,45,2,3,18
004,10:00,9,4,58,3,8,15
006,10:00,14,5,,,,14
007,10:00,8,6,,,,8
008,10:00,6,7,,,,6
009,10:28,12,6,48,4,7,17
010,10:33,15,7,,,,15
012,11:22,12,2,21,3,8,15
013,11:23,10,3,38,6,12,14
014,11:35,12,2,48,3,7,16
016,12:02,7,2,37,6,16,11
017,12:15,16,2,50,2,3,18
018,12:39,14,2,40,2,3,18
020,13:35,18,1,10,2,3,18
021,13:37,11,1,21,6,12,14
022,13:44,9,2,36,7,15,13
023,13:51,18,2,54,2,3,18
024,13:53,6,3,,,,6
025,14:02,12,4,,,,12
026,14:16,16,4,,,,16
028,14:59,7,2,30,6,16,11
029,15:28,15,1,27,2,3,18
030,15:40,17,2,28,2,3,18
031,15:41,14,3,40,2,3,18
032,17:51,17,1,10,2,3,18
033,17:53,7,1,21,3,14,10
034,18:56,14,1,10,3,7,16
035,18:58,18,1,,,,18
036,19:28:00,14,,,,,14
