file,stamp,scenario,runners,orders,run,revenue_per_round,orders_per_runner_hour,on_time_rate,delivery_cycle_time_p90,delivery_cycle_time_avg,failed_rate,second_runner_break_even_orders,queue_wait_avg,runner_utilization_driving_pct,runner_utilization_prep_pct,runner_utilization_idle_pct,distance_per_delivery_avg,total_revenue,total_orders,successful_orders,failed_orders,total_rounds,active_runner_hours,late_orders,runner_utilization_pct,total_runner_drive_minutes,total_runner_shift_minutes
20250825_153500_delivery_runner_2_runners_idle_hour\orders_010\none\run_01\delivery_runner_metrics_run_01.json,20250825_153500,idle_hour,2,10,,33.333333333333336,1.3136998241224216,1.0,17.347387060909263,14.21992458131296,0.0,7.612089014840361,0.05416666666666667,18.289290626340364,0.0,81.71070937365964,3007.1456985453465,300.0,10,10,0,9,7.612089014840361,0,18.289290626340364,8353.182495959296,456.72534089042165
20250825_153500_delivery_runner_2_runners_idle_hour\orders_020\none\run_01\delivery_runner_metrics_run_01.json,20250825_153500,idle_hour,2,20,,35.294117647058826,2.5590163657696317,1.0,21.231452878273885,15.7572184940401,0.0,7.815502967283658,1.6966049382716037,35.77680790050123,0.0,64.22319209949876,3045.7973157088686,600.0,20,20,0,17,7.815502967283658,0,35.77680790050123,16776.824898378287,468.93017803701946
20250825_153500_delivery_runner_2_runners_idle_hour\orders_030\none\run_01\delivery_runner_metrics_run_01.json,20250825_153500,idle_hour,2,30,,33.333333333333336,3.8191181808154515,0.9666666666666667,20.463263946189507,16.10630821963179,0.0,7.855216460883244,2.251777777777776,53.23515049699016,0.0,46.76484950300984,3045.475251468223,900.0,30,30,0,27,7.855216460883243,1,53.23515049699016,25090.41782889323,471.3129876529946
