order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,13,1,10,3,8,15
002,10:00,7,2,28,3,14,10
003,10:00,11,3,52,3,7,16
004,10:00,14,4,,,,14
005,10:19,7,3,59,7,15,13
006,10:30,14,4,,,,14
008,11:18,17,2,25,2,3,18
011,11:31,14,2,26,4,7,17
014,11:44,18,2,30,2,3,18
015,11:57,7,2,30,6,16,11
016,12:09,16,2,44,2,3,18
017,12:28,13,2,38,4,7,17
018,12:36,15,3,47,2,3,18
019,12:44,13,3,53,2,3,18
021,13:22,13,2,28,3,7,16
022,14:23,7,1,10,2,14,9
023,14:38,16,1,19,2,3,18
024,14:58,15,1,12,4,7,17
025,15:03,5,1,24,2,14,9
026,15:24,18,1,27,2,3,18
027,15:26,9,2,39,6,12,14
028,15:37,6,3,50,9,18,12
029,15:53,12,3,,,,12
030,16:02,7,3,,,,7
031,16:08,18,4,,,,18
032,16:59,10,2,26,7,15,13
033,17:58,10,1,10,9,18,12
034,18:20,17,1,16,2,3,18
