order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole,golfer_node_idx,predicted_node_idx,actual_node_idx
001,11:00:08,12,,10.033333333333333,5.277049356235572,11.229430308616523,14,132,194,194
002,11:23:32,12,,10.05,5.086704803591359,11.03908575597231,14,132,193,193
003,11:31:18,10,,10.033333333333333,6.259074922364683,15.782884446174206,11,108,162,162
004,11:59:04,6,,10.016666666666667,6.02595490149785,15.549764425307375,7,60,93,93
005,12:00:15,18,,10.0,0.8708469514353662,6.823227903816319,-1,204,250,250
006,12:26:03,9,,10.033333333333333,0.6558235541935573,11.370109268479272,10,96,132,132
007,12:28:38,6,,10.033333333333333,5.646059435664331,15.169868959473856,7,60,95,95
008,12:37:18,4,,10.033333333333333,9.92447576227017,18.257809095603502,6,36,72,72
009,13:05:38,14,,10.033333333333333,2.517633137855349,7.279537899760111,15,156,209,210
010,13:10:17,11,,10.05,7.5052316523468106,15.838564985680144,12,120,174,174
011,13:29:19,14,,10.016666666666667,2.8967359086195454,7.658640670524307,15,156,207,207
012,13:36:59,7,,10.016666666666667,3.040871556464663,14.945633461226569,9,72,115,116
013,14:06:58,16,,10.033333333333333,3.5227684719440733,4.713244662420264,18,180,236,236
014,14:26:57,16,,10.05,3.14207940452258,4.33255559499877,18,180,238,238
015,15:15:24,11,,10.016666666666667,6.449419582936935,15.973229106746459,11,120,163,163
016,16:12:37,16,,10.05,3.5227684719440733,4.713244662420264,18,180,236,236
017,16:59:48,6,,10.033333333333333,6.9776774372678725,16.501486961077397,7,60,88,88
018,17:33:12,7,,10.05,3.3376311040648337,14.051916818350549,8,72,109,109
019,17:50:21,15,,10.066666666666666,3.8050861502832656,6.186038531235647,17,168,226,226
020,17:56:24,9,,10.016666666666667,0.3790215165973981,6.331402468978351,-1,96,129,129
