order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,8,1,10,6,16,11
002,10:00,7,2,36,9,18,12
003,10:00,13,3,,,,13
004,10:00,7,4,,,,7
006,10:59,16,2,15,2,3,18
007,11:18,13,1,10,3,8,15
008,11:35,8,1,11,3,14,10
010,11:53,4,1,17,10,18,6
011,12:58,6,1,10,4,16,8
012,12:58,3,2,36,7,17,7
014,13:30,6,1,30,3,14,10
015,13:31,9,2,53,3,8,15
016,13:37,13,3,,,,13
017,13:54,18,3,58,2,3,18
019,14:50,9,1,15,9,18,12
020,15:02,8,1,31,6,16,11
021,15:50,7,1,10,3,14,10
022,16:22,18,1,10,2,3,18
023,16:36,18,1,10,2,3,18
024,16:36,15,2,23,4,7,17
025,16:53,5,1,23,4,16,8
026,17:24,17,1,18,2,3,18
027,17:46,18,1,10,2,3,18
028,19:06:00,13,,,,,13
