order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,14708,15308,15310,15426.795980098372,15712.510265812658
002,15546,16146,16150,16184.16194618075,16541.30480332361
004,15960,16560,16560,16617.002223719093,17331.287938004807
003,15902,16502,16505,16750.616354326765,16893.473497183906
005,16453,17053,17145,17281.76961199712,17996.055326282833
006,16477,17077,17495,17723.305169016996,17866.162311874137
007,16978,17578,17935,17956.86381039369,18314.00666753655
008,17173,17773,18470,18561.264278765724,19275.549993051438
009,17416,18016,18600,18808.06616526183,19093.780450976115
010,18143,18743,18915,19032.200285356557,19246.48599964227
011,18832,19432,19695,19716.86381039369,20074.00666753655
012,19007,19607,19850,19936.469909940846,20007.89848136942
013,19056,19656,19880,20045.683425872798,20117.11199730137
014,19150,19750,20610,20806.6454949153,21092.359780629587
016,19835,20435,20720,20829.311240605355,20900.739812033928
015,19646,20246,20675,20929.0785296798,21071.93567253694
017,20309,20909,21505,21656.46229626151,21870.748010547224
019,21137,21737,21740,21761.86381039369,22119.00666753655
018,20900,21500,21675,21857.45229338788,22571.738007673594
020,21539,22139,22475,22626.05798827132,22911.772273985607
021,21978,22578,22720,22974.0785296798,23116.93567253694
022,22015,22615,23175,23394.486835706197,23680.201121420483
023,22310,22910,23515,23677.38348446531,23963.097770179596
024,22674,23274,23720,23817.890567857674,23889.319139286246
025,22887,23487,24285,24459.303638219404,24673.589352505118
026,23085,23685,24490,24529.349413251613,25172.206556108755
027,23197,23797,24565,24605.830134556712,24962.97299169957
028,24536,25136,25275,25511.31717703947,26154.17431989661
029,24794,25394,25565,25736.031623995113,26450.317338280827
030,25987,26587,26590,26611.86381039369,26969.00666753655
031,26229,26829,26830,26851.86381039369,27209.00666753655
032,27790,28390,28390,28510.731928183257,28582.16049961183
033,28013,28613,28615,28637.741290995844,28994.884148138703
034,28155,28755,28755,28846.264278765724,29560.549993051438
035,29530,30130,30130,30445.74623204964,30874.31766062107
036,31784,32384,32385,32407.741290995844,32764.884148138703
037,32129,32729,32730,32977.30299627208,33120.16013912923
038,32953,33553,33555,33577.07150553143,34219.92864838857
039,33376,33976,33980,34179.94416493644,34894.229879222155
040,34303,34903,34905,34926.86381039369,35284.006667536545
041,34676,35276,35280,35374.73969005353,35589.02540433925
042,34899,35499,35500,35596.400894390805,36239.25803724795
043,36464,37064,37065,37094.40946560554,37451.55232274839
044,37105,37705,37705,37844.63731543421,38130.35160114849
045,37337,37937,37940,38111.03162399511,38825.31733828083
046,38443,39043,39045,39261.8844990075,39476.17021329322
047,38617,39217,39220,39467.30299627208,39610.16013912923
048,38774,39374,39430,39684.0785296798,39826.93567253694
049,39293,39893,40080,40107.92871340843,40750.785856265575
