order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,9,1,10,6,16,11
002,10:00,8,2,36,9,18,12
003,10:00,11,3,,,,11
004,10:12,15,3,,,,15
005,10:23,8,4,,,,8
006,10:31,11,4,,,,11
007,10:35,8,5,,,,8
008,10:47,4,6,,,,4
010,10:51,11,7,,,,11
011,10:56,16,7,,,,16
012,11:09,8,7,,,,8
013,11:16,14,7,,,,14
014,11:17,18,8,,,,18
015,11:22,5,9,,,,5
016,11:24,9,10,,,,9
017,11:32,12,10,,,,12
018,12:05,7,6,39,9,18,12
019,12:48,4,1,24,4,16,8
020,13:05,18,1,32,2,3,18
021,13:11,5,2,40,2,14,9
022,13:35,14,2,40,2,3,18
023,14:08,7,1,20,3,14,10
024,14:13,4,2,39,4,16,8
025,14:17,6,3,,,,6
026,15:19,17,1,10,2,3,18
027,15:43,5,1,10,4,16,8
028,16:22,17,1,10,2,3,18
029,16:26,7,1,19,3,14,10
030,16:29,4,2,40,2,14,9
031,17:03,17,1,30,2,3,18
032,17:12,14,2,35,4,7,17
033,18:36,18,1,10,2,3,18
034,19:21:00,14,,,,,14
035,19:56:00,18,,,,,18
