order_id,order_time_s,ready_for_pickup_time_s,departure_time_s,delivery_timestamp_s,return_timestamp_s
001,14822,15422,15425,15678.748847628076,15964.463133342362
002,14913,15513,15515,15831.622961374134,16188.765818516991
003,16551,17151,17155,17366.366108316644,17437.794679745217
004,17213,17813,17815,18130.922235069043,18702.350806497616
005,17291,17891,17895,18364.910401785306,18864.910401785306
007,18580,19180,19305,19558.748847628074,19844.46313334236
006,18493,19093,19095,19621.944492524006,20121.944492524006
008,19257,19857,19860,20542.437311861915,20899.580169004774
009,19382,19982,20445,20570.34894005771,21284.634654343423
010,19421,20021,20725,20936.67854364321,21579.535686500352
012,21188,21788,21885,22085.25786624389,22728.11500910103
011,19942,20542,21500,22250.942233534464,22679.513662105892
013,21873,22473,22475,23157.418197069328,23585.989625640756
014,22077,22677,23280,23355.049266854723,23426.477838283296
015,24365,24965,24965,25150.224824667162,25435.93911038145
016,24996,25596,25600,25679.84360862329,26394.129322909004
017,25052,25652,25655,25817.38348446531,26103.097770179596
018,26068,26668,26670,26892.786782456733,26964.215353885305
019,27151,27751,27755,28435.629548004337,28721.343833718624
020,28062,28662,28665,28767.684934035147,29481.97064832086
021,30152,30752,30755,31469.646402644823,31683.932116930537
022,32051,32651,32655,33257.11177141851,33757.11177141851
023,34250,34850,34850,35061.366108316644,35132.79467974522
024,34296,34896,34900,35404.103180415295,35904.103180415295
025,35219,35819,35820,35991.03162399511,36705.31733828083
026,36677,37277,37280,37584.501564858496,38155.93013628707
027,37174,37774,37775,37796.86381039369,38154.006667536545
028,37563,38163,38165,38305.04162568864,38519.327339974356
029,37956,38556,38755,38864.311240605355,38935.73981203393
030,39014,39614,39615,39720.77961559618,39935.065329881894
