order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,14,1,10,3,8,15
002,10:00,14,2,28,4,7,17
003,10:00,9,3,45,6,12,14
004,10:00,7,4,,,,7
005,10:00,10,5,,,,10
006,10:00,14,6,,,,14
007,10:21,8,5,56,6,12,14
008,10:40,9,5,58,3,8,15
009,10:40,7,6,,,,7
010,10:45,2,7,,,,2
011,11:14,15,4,42,2,3,18
012,11:31,17,4,39,2,3,18
013,11:36,18,5,47,2,3,18
014,12:15,2,1,22,10,17,5
015,12:16,9,2,48,6,12,14
016,12:18,14,3,,,,14
017,12:19,13,4,,,,13
018,12:21,17,5,,,,17
019,12:31,8,5,,,,8
020,12:37,10,6,,,,10
021,12:54,13,6,,,,13
022,13:01,11,7,,,,11
023,13:22,11,5,54,4,7,17
024,13:26,17,5,,,,17
025,13:32,15,6,,,,15
026,13:34,10,7,,,,10
027,14:18,3,4,35,7,17,7
028,14:46,3,1,33,10,18,6
029,14:48,7,2,60,9,18,12
030,15:20,15,2,56,2,3,18
031,16:14,6,1,15,2,14,9
032,16:20,14,1,33,4,7,17
033,16:49,7,1,21,6,16,11
034,17:02,5,1,34,3,14,10
035,17:12,15,2,48,2,3,18
036,18:06,8,1,10,3,14,10
037,18:08,15,1,32,2,3,18
038,18:32,12,1,21,3,8,15
039,19:12:00,17,,,,,17
