order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,12,1,10,6,12,14
002,10:00,7,2,32,6,16,11
003,10:00,12,3,58,4,7,17
004,10:00,6,4,,,,6
005,10:00,8,5,,,,8
006,10:00,10,6,,,,10
007,10:18,10,6,57,3,7,16
008,10:25,4,6,,,,4
009,11:04,12,3,37,3,7,16
010,11:12,6,3,46,6,16,11
011,11:16,5,4,,,,5
012,11:33,5,3,,,,5
013,12:32,13,1,12,3,8,15
014,12:36,17,1,26,2,3,18
015,12:50,4,2,25,4,16,8
016,13:00,18,2,41,2,3,18
017,13:05,17,3,49,2,3,18
018,13:31,9,3,37,7,15,13
019,13:33,15,3,60,2,3,18
020,14:04,16,2,42,2,3,18
021,14:08,6,3,52,6,16,11
022,14:09,16,4,,,,16
023,14:29,10,4,57,3,8,15
024,14:30,9,5,,,,9
025,14:55,7,4,49,9,18,12
026,15:09,18,5,,,,18
027,15:15,14,5,,,,14
028,15:25,16,5,,,,16
029,15:27,8,6,,,,8
030,15:28,7,7,,,,7
031,15:44,2,6,58,4,16,8
032,16:01,7,7,,,,7
033,16:23,15,5,54,2,3,18
034,16:52,15,3,38,2,3,18
035,17:17,16,2,27,2,3,18
036,19:44:00,18,,,,,18
