order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,11,1,10,7,15,13
002,10:00,11,2,35,6,12,14
003,10:07,12,2,50,4,7,17
004,10:16,3,3,58,2,14,9
005,10:16,1,4,,,,1
006,10:22,3,5,,,,3
007,10:40,1,5,58,10,18,6
008,11:47,18,1,19,2,3,18
009,12:12,10,1,10,9,18,12
010,12:13,18,1,37,2,3,18
011,12:42,9,1,21,9,18,12
012,13:19,2,1,12,9,16,4
013,13:37,7,1,20,3,14,10
014,13:39,15,2,42,2,3,18
015,13:46,9,3,48,6,12,14
016,13:52,18,3,,,,18
017,13:56,3,4,,,,3
018,14:02,4,5,,,,4
019,15:15,14,1,10,3,7,16
020,15:16,13,1,26,3,7,16
021,16:00,2,1,10,9,16,4
022,16:32,8,1,10,3,14,10
023,16:36,1,1,30,9,16,4
024,16:37,10,2,54,3,8,15
025,16:58,15,2,51,2,3,18
026,17:39,8,2,24,6,16,11
027,17:41,13,2,48,4,7,17
028,18:42,15,1,10,3,7,16
029,20:17:00,18,,,,,18
