order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,14,1,10,3,8,15
002,10:00,12,2,28,3,8,15
003,10:00,7,3,46,9,18,12
004,10:00,13,4,,,,13
005,10:00,8,5,,,,8
006,10:00,12,6,,,,12
008,10:00,9,7,,,,9
009,10:07,10,7,,,,10
010,10:12,8,8,,,,8
012,10:38,9,7,46,6,12,14
013,10:49,10,8,57,3,7,16
014,11:13,18,3,49,2,3,18
015,11:27,18,3,49,2,3,18
016,11:58,14,2,31,4,7,17
018,12:23,7,1,23,3,14,10
019,12:26,12,2,44,3,7,16
020,12:47,18,2,39,2,3,18
021,12:50,16,3,50,2,3,18
022,13:04,7,3,49,9,18,12
023,13:06,7,4,,,,7
024,13:18,7,4,,,,7
027,13:57,14,3,34,4,7,17
028,14:00,11,4,48,3,8,15
031,14:49,14,1,17,3,7,16
032,15:28,7,1,10,3,14,10
033,15:51,8,1,11,3,14,10
034,16:00,11,1,26,6,12,14
035,17:14,18,1,10,2,3,18
036,18:34,12,1,10,6,12,14
037,19:46:00,16,,,,,16
