file,on_time_rate,failed_rate,delivery_cycle_time_p90,delivery_cycle_time_avg,orders_per_runner_hour,second_runner_break_even_orders,queue_wait_avg,runner_utilization_driving_pct,runner_utilization_idle_pct,distance_per_delivery_avg,total_revenue,total_orders
typical_weekday\orders_010\runners_1\run_01\delivery_runner_metrics_run_01.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0
typical_weekday\orders_010\runners_1\run_02\delivery_runner_metrics_run_02.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0
