tee_scenario,orders,num_runners,runs,on_time_rate_mean,failed_rate_mean,p90_mean,orders_per_runner_hour_mean,second_runner_break_even_orders_mean,meets_targets
typical_weekday,10,1,2,0.0,0.0,0.0,0.0,0.0,False
typical_weekday,10,2,0,0.0,0.0,0.0,0.0,0.0,False
