order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
003,10:00,9,1,10,6,16,11
005,10:07,13,1,29,4,7,17
006,10:10,9,2,43,6,12,14
009,10:19,13,3,56,2,3,18
010,10:27,8,3,,,,8
012,10:47,17,3,51,2,3,18
014,10:49,18,4,,,,18
015,10:59,7,5,,,,7
016,11:46,8,2,26,6,16,11
019,12:52,17,1,10,2,3,18
020,13:19,15,1,10,4,7,17
021,13:25,6,1,21,2,14,9
022,13:57,14,1,13,3,7,16
023,14:02,14,1,24,3,7,16
024,14:11,18,2,32,2,3,18
025,14:52,9,1,10,6,16,11
026,14:55,15,1,33,2,3,18
027,15:12,14,2,30,4,7,17
029,15:47,16,1,11,4,7,17
032,16:27,15,1,10,4,7,17
033,18:04,15,1,10,3,7,16
035,19:18:00,18,,,,,18
