order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,12,1,10,6,12,14
002,10:00,7,2,32,6,16,11
003,10:00,13,3,58,2,3,18
004,10:00,6,4,,,,6
005,10:00,7,5,,,,7
006,10:11,12,5,,,,12
009,10:50,9,4,31,7,15,13
010,11:13,8,1,33,9,18,12
011,11:19,12,2,55,4,7,17
013,11:39,13,2,52,4,7,17
014,11:39,9,3,,,,9
015,11:52,10,4,,,,10
016,12:03,18,5,,,,18
017,12:20,11,5,58,3,7,16
018,12:24,14,5,,,,14
019,12:32,8,6,,,,8
022,13:46,16,1,10,4,7,17
023,13:58,12,1,15,3,8,15
024,14:04,16,1,27,2,3,18
025,14:16,16,2,28,2,3,18
026,15:09,16,1,10,4,7,17
028,16:02,7,1,10,2,14,9
031,18:02,15,1,10,3,7,16
032,18:20,17,1,10,2,3,18
033,18:37,13,1,10,3,8,15
