order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
002,10:00,14,1,10,3,7,16
004,10:00,7,2,27,3,14,10
007,10:21,14,1,29,4,7,17
009,10:53,17,1,14,2,3,18
010,10:54,13,2,27,3,7,16
011,11:17,7,1,20,3,14,10
012,11:54,16,1,10,2,3,18
014,12:02,16,1,15,2,3,18
017,13:33,18,1,10,2,3,18
020,14:39,17,1,10,2,3,18
021,14:45,7,1,17,3,14,10
022,15:00,13,1,26,3,7,16
023,15:12,16,2,31,2,3,18
024,15:19,18,2,37,2,3,18
025,15:26,7,3,44,9,18,12
027,15:41,13,3,57,2,3,18
028,16:25,17,2,26,2,3,18
029,17:00,13,1,10,3,8,15
031,17:44,18,1,10,2,3,18
