order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,14,1,10,3,7,16
002,10:00,14,2,27,4,7,17
003,10:00,13,3,44,4,7,17
004,10:00,9,4,,,,9
005,10:00,10,5,,,,10
006,10:00,12,6,,,,12
007,10:00,14,7,,,,14
008,10:00,7,8,,,,7
009,10:08,3,8,,,,3
010,10:21,3,8,59,2,14,9
011,10:39,17,8,,,,17
012,10:40,4,9,,,,4
013,10:55,8,9,59,6,12,14
014,11:00,12,10,,,,12
015,11:28,17,5,48,2,3,18
016,11:37,16,5,53,2,3,18
017,11:40,6,6,,,,6
018,11:52,15,5,,,,15
019,11:53,8,6,,,,8
020,12:04,11,6,59,3,7,16
021,12:33,7,5,47,9,18,12
022,12:50,17,4,58,2,3,18
023,12:56,14,3,,,,14
024,12:58,17,4,,,,17
025,13:21,18,4,50,2,3,18
026,13:28,8,5,56,6,12,14
027,13:29,9,6,,,,9
028,13:52,18,5,54,2,3,18
029,14:15,11,3,45,3,8,15
030,14:23,13,4,55,2,3,18
031,14:37,9,3,54,6,12,14
032,15:13,10,2,40,6,12,14
033,15:19,18,3,56,2,3,18
034,15:24,7,3,,,,7
035,15:32,3,4,,,,3
036,15:33,16,5,,,,16
037,15:38,7,6,,,,7
038,15:41,1,7,,,,1
039,16:29,15,4,29,2,3,18
040,16:47,7,2,24,6,16,11
041,17:51,9,1,10,6,16,11
042,18:08,17,1,19,2,3,18
043,18:39,17,1,10,2,3,18
044,19:16:00,17,,,,,17
