order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,14,1,10,3,8,15
002,10:00,13,2,28,3,7,16
003,10:00,11,3,44,3,7,16
004,10:00,11,4,,,,11
005,10:00,9,5,,,,9
006,10:00,5,6,,,,5
007,10:09,14,6,,,,14
008,10:37,11,5,44,3,7,16
009,10:57,18,5,41,2,3,18
010,10:58,18,6,53,2,3,18
011,11:06,16,4,58,2,3,18
012,11:07,4,5,,,,4
013,11:08,13,6,,,,13
014,11:27,12,6,,,,12
015,11:39,12,6,59,4,7,17
016,12:21,8,2,34,9,18,12
017,12:24,12,3,59,4,7,17
018,12:44,2,3,56,7,17,7
019,13:00,4,3,,,,4
020,13:22,18,3,54,2,3,18
021,13:41,3,3,49,4,16,8
022,13:42,11,4,,,,11
023,13:50,15,5,,,,15
024,13:53,17,6,,,,17
025,14:02,3,6,,,,3
026,14:06,12,7,,,,12
027,14:40,14,6,45,2,3,18
028,14:58,14,3,41,2,3,18
029,15:10,18,3,42,2,3,18
030,15:38,12,2,28,3,8,15
031,16:08,16,1,16,2,3,18
032,16:33,12,1,10,6,12,14
033,16:44,18,1,21,2,3,18
034,17:31,18,1,10,2,3,18
035,18:32,10,1,10,9,18,12
036,18:35,16,1,35,2,3,18
037,19:35:00,18,,,,,18
