order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,14,1,10,3,8,15
002,10:00,10,2,28,7,15,13
003,10:00,14,3,53,2,3,18
004,10:00,11,4,,,,11
005,10:00,7,5,,,,7
006,10:54,16,3,22,2,3,18
007,11:03,5,2,27,2,14,9
008,11:44,10,1,10,9,18,12
009,11:45,18,1,37,2,3,18
010,12:06,7,2,29,6,16,11
011,12:11,14,3,50,2,3,18
012,13:02,10,1,13,9,18,12
013,13:08,14,1,35,4,7,17
014,13:25,18,2,35,2,3,18
015,13:59,17,1,14,2,3,18
016,14:13,13,1,14,3,8,15
017,14:25,4,1,19,10,18,6
018,15:02,2,1,11,9,16,4
019,15:41,14,1,10,3,7,16
020,15:42,1,1,26,9,16,4
021,16:08,17,1,25,2,3,18
022,16:13,18,2,34,2,3,18
023,16:16,5,3,44,3,14,10
024,17:44,15,1,10,3,7,16
025,18:39,17,1,10,2,3,18
026,18:52,14,1,10,3,7,16
027,19:46:00,16,,,,,16
