order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,11,1,10,7,15,13
002,10:00,10,2,35,6,12,14
003,10:00,11,3,57,4,7,17
005,10:08,11,3,,,,11
006,10:08,7,4,,,,7
008,10:22,11,5,,,,11
009,10:23,16,6,,,,16
010,11:04,18,4,30,2,3,18
011,11:18,10,3,29,6,12,14
013,11:35,15,2,34,2,3,18
015,12:33,11,1,10,7,15,13
017,12:49,14,1,19,3,7,16
018,12:54,18,2,30,2,3,18
019,13:11,16,2,27,2,3,18
020,13:11,11,3,40,3,7,16
021,14:26,15,1,10,3,7,16
022,14:57,10,1,10,9,18,12
023,14:59,14,1,36,2,3,18
024,15:06,10,2,42,3,8,15
025,16:01,7,1,10,2,14,9
027,16:34,14,1,10,3,8,15
028,16:57,10,1,10,9,18,12
029,18:22,9,1,10,6,16,11
030,18:45,18,1,13,2,3,18
031,19:38:00,15,,,,,15
