order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole,golfer_node_idx,predicted_node_idx,actual_node_idx
001,11:13:51,1,,10.066666666666666,3.314156004547749,6.8855845759763215,2,0,18,18
002,11:17:58,9,,10.033333333333333,3.805068109259355,13.32887763306888,11,96,130,130
003,11:19:02,14,,10.05,6.706187236661026,10.277615808089598,16,156,190,190
004,11:20:17,9,,20.55,3.807503211904744,12.140836545238077,12,96,134,134
005,11:26:42,16,,22.716666666666665,1.0314127596845235,2.221888950160714,18,180,221,221
006,12:11:24,17,,10.016666666666667,1.0314127596845235,2.221888950160714,18,192,221,221
007,12:12:48,1,,10.033333333333333,2.3927537554306886,4.77370613638307,1,0,13,13
008,12:25:30,18,,10.0,0.33633584503792613,1.5268120355141166,18,204,225,234
009,12:29:04,3,,10.016666666666667,9.836793159114617,18.17012649244795,6,24,64,63
010,12:29:50,17,,10.0,0.6646912493353738,1.8551674398115643,18,192,223,223
011,12:44:37,8,,10.05,2.026154829856508,13.930916734618414,9,84,107,107
012,12:49:29,10,,10.016666666666667,4.41981999996921,7.991248571397782,2,108,24,24
013,13:29:00,1,,10.0,3.3141560045477187,6.885584575976291,2,0,18,18
014,13:32:20,9,,10.0,1.9292149456485277,12.643500659934242,10,96,119,119
015,13:33:53,6,,10.033333333333333,4.154736758221346,14.86902247250706,8,60,95,96
016,13:58:02,13,,10.05,7.905428710680705,12.667333472585467,15,144,177,177
017,13:59:55,18,,10.0,0.33633584503792613,1.5268120355141166,18,204,225,235
018,14:02:06,2,,10.066666666666666,10.60878506240618,16.561166014787133,-1,12,58,58
019,14:16:29,18,,10.016666666666667,0.33633584503792613,1.5268120355141166,18,204,225,233
020,14:47:27,17,,10.05,2.5035325911044612,3.694008781580652,18,192,213,213
021,15:22:30,17,,10.0,2.687827928562607,3.878304119038798,18,192,212,212
022,15:59:23,15,,10.033333333333333,5.448310187083674,7.8292625680360555,17,168,197,197
023,16:06:29,7,,10.016666666666667,2.762932614428428,14.667694519190333,9,72,103,103
024,16:12:26,13,,10.066666666666666,7.9054287106807655,12.667333472585529,15,144,177,177
025,16:29:21,6,,10.066666666666666,6.173460187288947,16.88774590157466,8,60,84,84
026,17:19:25,9,,10.0,2.2949703103073262,13.009256024593041,10,96,121,121
027,17:20:17,13,,10.05,8.174217421515035,12.936122183419798,15,144,182,182
028,17:29:24,8,,10.016666666666667,1.10777906835962,11.822064782645334,10,84,112,112
029,17:42:36,1,,10.066666666666666,3.6826372419636755,7.2540658133922475,2,0,20,20
030,17:51:50,2,,10.0,7.73151757505378,12.493422336958542,3,12,42,42
