order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,14,1,10,3,8,15
002,10:00,14,2,28,4,7,17
003,10:00,11,3,45,3,7,16
004,10:00,7,4,,,,7
005,10:00,7,5,,,,7
006,10:00,11,6,,,,11
007,10:23,12,5,48,4,7,17
008,10:27,1,6,,,,1
009,10:29,14,7,,,,14
010,11:02,7,3,46,9,18,12
011,11:53,17,1,23,2,3,18
012,12:02,17,2,28,2,3,18
013,12:03,9,3,40,6,12,14
014,12:13,3,3,52,2,14,9
015,12:17,13,4,,,,13
016,12:25,17,4,,,,17
017,12:54,13,4,45,4,7,17
018,13:45,5,1,11,7,17,7
019,14:05,12,1,18,6,12,14
020,14:34,18,1,10,2,3,18
021,14:38,5,1,20,4,16,8
022,14:50,17,1,33,2,3,18
023,14:57,3,2,40,4,16,8
024,15:02,12,3,,,,12
025,16:22,8,1,10,6,16,11
026,16:24,16,1,34,2,3,18
027,17:04,15,1,10,3,7,16
028,17:06,12,1,25,3,8,15
029,17:17,4,2,32,4,16,8
030,18:42,18,1,10,2,3,18
