data_source,batch_id,simulation_id,mode,scenario,run_index,seed,num_carts,num_runners,groups,bev_order_prob,bev_price_usd,delivery_order_prob,prevent_front_upto_hole,runner_speed_mps,prep_time_min,on_time_rate,failed_rate,delivery_cycle_time_p50,delivery_cycle_time_p90,queue_depth_avg,queue_wait_avg,util_driving_pct,util_waiting_pct,util_handoff_pct,util_deadhead_pct,total_revenue,total_orders,successful_orders,failed_orders,orders_per_runner_hour,revenue_per_round,order_penetration_rate,average_order_value,bev_orders_per_cart_hour,bev_holes_covered_per_hour,bev_total_visibility_events,optimization_target,optimal_for_target,target_achieved,utilization_category,is_low_utilization,is_high_performance
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run01_cart3,bevcart,busy_weekday,1,122348,1,0,36,0.3,12.0,,,,,,,,,,,,,,,,,,,,,,,3.5,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run01_cart1,bevcart,busy_weekday,1,132346,1,0,36,0.4,12.0,,,,,,,,,,,,,,,,,,,,,,,4.625,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run01_cart2,bevcart,busy_weekday,1,132347,1,0,36,0.4,12.0,,,,,,,,,,,,,,,,,,,,,,,3.5,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run01_cart3,bevcart,busy_weekday,1,132348,1,0,36,0.4,12.0,,,,,,,,,,,,,,,,,,,,,,,3.125,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run01_cart1,bevcart,busy_weekday,1,142346,1,0,36,0.5,12.0,,,,,,,,,,,,,,,,,,,,,,,5.125,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run01_cart2,bevcart,busy_weekday,1,142347,1,0,36,0.5,12.0,,,,,,,,,,,,,,,,,,,,,,,4.5,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run01_cart3,bevcart,busy_weekday,1,142348,1,0,36,0.5,12.0,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run01_cart1,bevcart,busy_weekday,1,152346,1,0,36,0.6,12.0,,,,,,,,,,,,,,,,,,,,,,,6.125,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run01_cart2,bevcart,busy_weekday,1,152347,1,0,36,0.6,12.0,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run01_cart3,bevcart,busy_weekday,1,152348,1,0,36,0.6,12.0,,,,,,,,,,,,,,,,,,,,,,,6.25,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart1,bevcart,busy_weekday,2,13347,1,0,36,0.2,12.0,,,,,,,,,,,,,,,,,,,,,,,2.125,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart1,bevcart,busy_weekday,2,23347,1,0,36,0.3,12.0,,,,,,,,,,,,,,,,,,,,,,,3.375,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart1,bevcart,busy_weekday,2,33347,1,0,36,0.4,12.0,,,,,,,,,,,,,,,,,,,,,,,4.125,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart1,bevcart,busy_weekday,2,43347,1,0,36,0.5,12.0,,,,,,,,,,,,,,,,,,,,,,,5.125,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart1,bevcart,busy_weekday,2,53347,1,0,36,0.6,12.0,,,,,,,,,,,,,,,,,,,,,,,6.625,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart1,bevcart,busy_weekday,2,63347,1,0,36,0.2,12.0,,,,,,,,,,,,,,,,,,,,,,,1.125,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart2,bevcart,busy_weekday,2,63348,1,0,36,0.2,12.0,,,,,,,,,,,,,,,,,,,,,,,2.25,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart1,bevcart,busy_weekday,2,73347,1,0,36,0.3,12.0,,,,,,,,,,,,,,,,,,,,,,,3.625,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart2,bevcart,busy_weekday,2,73348,1,0,36,0.3,12.0,,,,,,,,,,,,,,,,,,,,,,,2.375,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart1,bevcart,busy_weekday,2,83347,1,0,36,0.4,12.0,,,,,,,,,,,,,,,,,,,,,,,4.75,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart2,bevcart,busy_weekday,2,83348,1,0,36,0.4,12.0,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart1,bevcart,busy_weekday,2,93347,1,0,36,0.5,12.0,,,,,,,,,,,,,,,,,,,,,,,5.375,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart2,bevcart,busy_weekday,2,93348,1,0,36,0.5,12.0,,,,,,,,,,,,,,,,,,,,,,,4.5,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart1,bevcart,busy_weekday,2,103347,1,0,36,0.6,12.0,,,,,,,,,,,,,,,,,,,,,,,5.375,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart2,bevcart,busy_weekday,2,103348,1,0,36,0.6,12.0,,,,,,,,,,,,,,,,,,,,,,,5.75,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart1,bevcart,busy_weekday,2,113347,1,0,36,0.2,12.0,,,,,,,,,,,,,,,,,,,,,,,1.75,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart2,bevcart,busy_weekday,2,113348,1,0,36,0.2,12.0,,,,,,,,,,,,,,,,,,,,,,,2.25,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart3,bevcart,busy_weekday,2,113349,1,0,36,0.2,12.0,,,,,,,,,,,,,,,,,,,,,,,1.375,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart1,bevcart,busy_weekday,2,123347,1,0,36,0.3,12.0,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart2,bevcart,busy_weekday,2,123348,1,0,36,0.3,12.0,,,,,,,,,,,,,,,,,,,,,,,2.625,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart3,bevcart,busy_weekday,2,123349,1,0,36,0.3,12.0,,,,,,,,,,,,,,,,,,,,,,,3.125,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart1,bevcart,busy_weekday,2,133347,1,0,36,0.4,12.0,,,,,,,,,,,,,,,,,,,,,,,3.5,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart2,bevcart,busy_weekday,2,133348,1,0,36,0.4,12.0,,,,,,,,,,,,,,,,,,,,,,,3.75,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart3,bevcart,busy_weekday,2,133349,1,0,36,0.4,12.0,,,,,,,,,,,,,,,,,,,,,,,3.25,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart1,bevcart,busy_weekday,2,143347,1,0,36,0.5,12.0,,,,,,,,,,,,,,,,,,,,,,,4.375,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart2,bevcart,busy_weekday,2,143348,1,0,36,0.5,12.0,,,,,,,,,,,,,,,,,,,,,,,4.5,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart3,bevcart,busy_weekday,2,143349,1,0,36,0.5,12.0,,,,,,,,,,,,,,,,,,,,,,,5.75,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart1,bevcart,busy_weekday,2,153347,1,0,36,0.6,12.0,,,,,,,,,,,,,,,,,,,,,,,6.25,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart2,bevcart,busy_weekday,2,153348,1,0,36,0.6,12.0,,,,,,,,,,,,,,,,,,,,,,,5.75,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run02_cart3,bevcart,busy_weekday,2,153349,1,0,36,0.6,12.0,,,,,,,,,,,,,,,,,,,,,,,5.75,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run03_cart1,bevcart,busy_weekday,3,14348,1,0,36,0.2,12.0,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run03_cart1,bevcart,busy_weekday,3,24348,1,0,36,0.3,12.0,,,,,,,,,,,,,,,,,,,,,,,3.5,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run03_cart1,bevcart,busy_weekday,3,34348,1,0,36,0.4,12.0,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run03_cart1,bevcart,busy_weekday,3,44348,1,0,36,0.5,12.0,,,,,,,,,,,,,,,,,,,,,,,4.625,0.0,0.0,,,,Very High (60%+),No,No
batch_experiment,batch_20250814_175011,batch_20250814_175011_busy_weekday_run03_cart1,bevcart,busy_weekday,3,54348,1,0,36,0.6,12.0,,,,,,,,,,,,,,,,,,,,,,,6.25,0.0,0.0,,,,Very High (60%+),No,No
