order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,14,1,10,3,8,15
002,10:00,7,2,28,3,14,10
003,10:00,14,3,52,2,3,18
004,10:00,8,4,,,,8
007,11:15,9,1,10,9,18,12
008,11:18,16,1,35,2,3,18
009,11:55,15,1,11,4,7,17
010,12:14,12,1,10,6,12,14
011,12:22,13,1,24,3,7,16
012,12:26,7,2,36,6,16,11
013,12:49,14,2,40,4,7,17
014,13:23,10,1,22,7,15,13
016,13:32,15,2,38,2,3,18
018,13:43,13,2,41,4,7,17
019,13:57,16,3,44,2,3,18
021,14:06,12,3,48,4,7,17
022,14:58,10,1,13,9,18,12
025,15:39,14,1,10,3,7,16
026,16:04,17,1,10,2,3,18
027,16:38,17,1,10,2,3,18
028,17:24,16,1,10,2,3,18
029,17:39,16,1,10,4,7,17
030,19:03:00,15,,,,,15
