order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,14,1,10,3,8,15
003,10:00,6,2,28,3,14,10
004,10:00,4,3,52,2,14,9
006,10:40,7,2,36,9,18,12
007,10:41,3,3,,,,3
008,10:46,9,3,,,,9
009,11:36,14,2,28,4,7,17
010,11:48,13,2,33,4,7,17
011,12:05,6,2,32,3,14,10
012,12:28,4,1,33,4,16,8
015,13:19,7,1,10,2,14,9
016,13:19,2,2,34,10,18,6
017,13:39,18,2,42,2,3,18
018,13:40,15,3,55,2,3,18
019,13:53,18,3,55,2,3,18
020,15:10,3,1,10,10,17,5
021,15:20,9,1,27,9,18,12
022,15:34,18,2,41,2,3,18
023,16:24,18,1,10,2,3,18
024,16:54,16,1,10,2,3,18
025,17:43,18,1,10,2,3,18
026,18:29,14,1,10,3,8,15
027,19:25:00,14,,,,,14
