order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,14,1,10,3,8,15
002,10:00,11,2,28,3,8,15
003,10:00,9,3,46,6,12,14
004,10:00,5,4,,,,5
005,10:00,14,5,,,,14
006,10:00,3,6,,,,3
007,10:00,10,7,,,,10
008,10:19,6,6,59,9,18,12
009,10:43,13,6,,,,13
010,11:01,16,3,55,2,3,18
011,11:23,11,3,46,3,8,15
012,11:24,1,4,,,,1
013,11:30,4,5,,,,4
014,11:32,8,6,,,,8
015,11:45,12,6,,,,12
016,12:12,1,5,45,10,18,6
017,12:26,9,5,59,3,8,15
018,13:28,8,1,15,6,16,11
019,13:29,14,2,40,2,3,18
020,14:17,2,1,10,9,16,4
021,14:37,18,1,16,2,3,18
022,14:42,16,2,24,2,3,18
023,14:43,13,2,36,4,7,17
024,14:48,1,3,48,10,18,6
025,15:22,1,2,43,10,17,5
026,16:29,13,1,10,3,8,15
027,17:02,10,1,10,9,18,12
028,17:17,16,1,23,2,3,18
029,17:49,15,1,10,4,7,17
030,18:08,18,1,10,2,3,18
031,18:41,11,1,10,7,15,13
032,18:54,15,1,,,,15
