order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
001,10:00,11,1,10,7,15,13
002,10:00,12,2,35,3,7,16
003,10:00,10,3,52,3,8,15
004,10:00,14,4,,,,14
005,10:00,11,5,,,,11
006,10:01,12,5,,,,12
007,10:07,14,6,,,,14
008,10:09,4,7,,,,4
009,10:11,8,8,,,,8
010,10:33,4,8,56,3,14,10
011,10:35,17,9,,,,17
012,11:06,8,6,47,7,15,13
014,11:31,7,3,47,9,18,12
015,11:38,8,3,,,,8
017,11:57,16,3,59,2,3,18
018,11:57,7,4,,,,7
019,12:05,13,5,,,,13
020,12:15,7,5,,,,7
021,12:37,14,5,52,2,3,18
022,12:37,13,6,,,,13
024,13:13,14,3,40,4,7,17
027,14:12,15,1,10,4,7,17
028,14:15,16,1,24,2,3,18
030,15:06,17,1,10,2,3,18
031,15:35,17,1,10,2,3,18
032,15:41,12,1,17,6,12,14
033,15:54,9,1,26,7,15,13
034,16:10,15,2,35,2,3,18
036,16:33,8,2,26,6,16,11
037,17:08,12,1,17,6,12,14
038,17:47,18,1,10,2,3,18
039,17:56,14,1,14,3,7,16
040,18:02,10,1,25,7,15,13
041,18:08,8,2,44,7,15,13
042,19:23:00,18,,,,,18
