order_id,placed_ts,placed_hole,queue,mins_to_set,drive_out_min,drive_total_min,delivery_hole
002,10:00,14,1,10,3,7,16
003,10:00,7,2,27,3,14,10
005,10:00,13,3,50,4,7,17
006,10:00,7,4,,,,7
008,10:05,9,4,,,,9
010,10:15,6,5,,,,6
011,10:26,15,5,,,,15
012,11:01,15,4,36,2,3,18
014,11:19,13,2,32,3,7,16
015,11:27,18,3,40,2,3,18
016,11:56,9,2,25,7,15,13
017,12:02,9,2,44,6,12,14
018,12:09,13,3,58,2,3,18
021,12:37,16,2,44,2,3,18
022,12:45,9,3,49,6,12,14
024,12:58,8,3,58,7,15,13
025,13:12,14,3,,,,14
026,13:18,8,4,,,,8
027,13:39,9,4,52,6,12,14
028,13:44,15,5,,,,15
029,13:47,13,5,,,,13
031,14:34,16,3,29,2,3,18
032,14:37,7,4,39,6,16,11
034,14:40,18,5,,,,18
035,15:04,7,3,48,9,18,12
036,15:16,16,3,,,,16
037,15:28,6,4,,,,6
040,16:37,17,1,10,2,3,18
041,16:45,9,1,15,6,16,11
043,17:19,8,1,10,3,14,10
044,19:15:00,18,,,,,18
